plant_community_code,analysis_name,prominence_value,constancy_percent
CPA9,Chamaerhodos_erecta,0.2,100
CPA9,Cryptantha_fendleri,0.3,100
CPA9,Elymus_virginicus,0.5,100
CPA9,Eriocoma_hymenoides,0.7,100
CPA9,Festuca_saximontana,0.3,100
CPA9,Hesperostipa_comata,1.6,100
CPA9,Heterotheca_villosa,1.2,100
CPA9,Koeleria_macrantha,2.2,100
CPA9,Lepidium_densiflorum,0.2,100
CPA9,Lygodesmia_juncea,0.1,100
CPA9,Mirabilis_albida,0.3,100
CPA9,Prunus_virginiana,3,100
CPA9,Rosa_woodsii,1,100
CPA9,Shinnersoseris_rostrata,0.1,100
CPA9,Sporobolus_cryptandrus,3.6,100
CPA9,Sporobolus_rigidus,4,100
CPC1,Achillea_millefolium,0.91,83.3
CPC1,Agrostis_scabra,2.15,83.3
CPC1,Androsace_septentrionalis,0.19,50
CPC1,Artemisia_campestris,0.69,33.3
CPC1,Artemisia_frigida,6.12,100
CPC1,Artemisia_ludoviciana,1.55,66.7
CPC1,Bouteloua_gracilis,2.54,83.3
CPC1,Campanula_rotundifolia,0.12,33.3
CPC1,Carex,6.5,83.3
CPC1,Cerastium_arvense,1.59,83.3
CPC1,Comandra_umbellata,0.4,50
CPC1,Elaeagnus_commutata,13.55,100
CPC1,Elymus_trachycaulus,1.6,100
CPC1,Equisetum_hyemale,0.22,83.3
CPC1,Erysimum_asperum,0.14,33.3
CPC1,Festuca_hallii,3.03,83.3
CPC1,Festuca_saximontana,2.37,83.3
CPC1,Galium_boreale,0.57,50
CPC1,Hesperostipa_comata,4.03,100
CPC1,Hesperostipa_curtiseta,4.8,83.3
CPC1,Heterotheca_villosa,0.78,33.3
CPC1,Koeleria_macrantha,2.55,100
CPC1,Orthocarpus_luteus,0.2,33.3
CPC1,Poa_pratensis,0.75,50
CPC1,Prunus_virginiana,3.27,66.7
CPC1,Rosa_woodsii,7.21,83.3
CPC1,Silene_parryi,0.09,33.3
CPC1,Solidago_missouriensis,2.43,83.3
CPC1,Sporobolus_rigidus,6.08,100
CPC1,Symphoricarpos_occidentalis,0.58,33.3
CPC1,Thermopsis_rhombifolia,1.06,50
CPC1,Vicia_americana,0.17,33.3
CPC16,Artemisia_frigida,1.92,80
CPC16,Artemisia_ludoviciana,0.39,60
CPC16,Bouteloua_gracilis,3.48,100
CPC16,Campanula_rotundifolia,0.06,40
CPC16,Carex,14.42,80
CPC16,Equisetum_arvense,1.24,60
CPC16,Festuca_hallii,12.92,100
CPC16,Festuca_ovina,1.33,40
CPC16,Helictochloa_hookeri,0.27,80
CPC16,Hesperostipa_curtiseta,5.32,80
