"plotnumber","sourceyr","ecoregion","ecoregion_title","ecodistr","ecodistr_title","ecosite","ecosite_title","ecosite_soil_component","mean_tree_age_year","dominanttree","dominantshrub","dominantherb","dominantcryptogam","laivascular","laitotal","position","slope_position_title","aspect","aspect_cardinal","slope","slope_class_degrees_title","drainage","drainage_title","seepage","elevation_m","mr","soil_moisture_class_title","pm","parent_material_title","order_soil","soil_order_title","grgroup","soil_great_group_title","subgrp","soil_subgroup_title","cf_percent_120","particlesizeclassname_dom_0_30","depth_to_bedrock_cm","depth_to_water_table_cm","depth_to_root_restricting_cm","depth_of_organic_matter_cm","total_live_cover_percent","unknown_taxa_total_cover_percent","number_of_taxa_after_transform","calcareous_0_30"
1357,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP18","Black spruce - tamarack treed swamp","Wet humic organic","63.7500000000000000","LARILAR","LEDUGRO","ARALNUD","PLEUSCH","250.6500000000000000","311.4000000000000000",4,"Lower Slope",999,"L",1,"0 – 0.5 degrees",7,"Very poor",1,403,"9.0000000000000000","Moderately Wet","7.0000000000000000","Organic","1.0000000000000000","Organic","1","Fibrisol","TER","Terric",5,"Organic Fibric",,33,,68,"302.2600000000000000","14.0000000000000000",52,"non-calcareous"
1358,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP6","Trembling aspen/beaked hazel/sarsaparilla","Fresh loamy sand","39.5000000000000000","POPUTRE","ALNUCRI","GRAMSPP","BRYOSPP","232.3000000000000000","234.7000000000000000",3,"Mid Slope",90,"E",1,"0 – 0.5 degrees",2,"Rapid",0,417,"2.0000000000000000","Moderately Dry","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","8","Eutric				","ELU","Eluviated",17,"Loamy",,,,7,"177.9900000000000000","62.5000000000000000",43,"non-calcareous"
1359,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS10","Black spruce - white birch/feathermoss","Fresh sand","40.0000000000000000","PICEMAR","LEDUGRO","CORNCAN","PLEUSCH","149.0550000000000000","215.2550000000000000",7,"Level",999,"L",1,"0 – 0.5 degrees",6,"Poor",1,528,"8.0000000000000000","Very Moist","4.0000000000000000","Lacustrine","2.0000000000000000","Gleysolic","4","Luvic","ORT","Orthic",0,"Loamy",,,8,6,"219.0100000000000000","12.0000000000000000",35,"non-calcareous"
1360,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP6","Trembling aspen/beaked hazel/sarsaparilla","Fresh loamy sand","39.5000000000000000","POPUTRE","VIBUEDU","ARALNUD","BRYOSPP","228.3900000000000000","233.5900000000000000",3,"Mid Slope",245,"W",4,"5.0 – 9.0 degrees",1,"Very rapid",0,393,"2.0000000000000000","Moderately Dry","1.0000000000000000","Fluvial","5.0000000000000000","Brunisolic","8","Eutric				","ELU","Eluviated",47,"Sandy",,,61,23,"227.0600000000000000","1.0000000000000000",50,"non-calcareous"
1361,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS6","Jack pine - trembling aspen/green alder","Moderately fresh loamy sand","50.5000000000000000","PICEMAR","RUBUIDA","PYROSP1","PLEUSCH","284.1800000000000000","292.0800000000000000",1,"Crest",999,"L",2,"0.5 – 2.0 degrees",3,"Well",0,530,"3.0000000000000000","Moderately Fresh","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",22,"Loamy",41,,41,4,"263.8900000000000000","1.0150000000000000",34,"non-calcareous"
1362,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS4","Jack pine - black spruce/feathermoss","Moderately dry sand","53.5000000000000000","PINUBAN","VACCMYR","POLYVIR","CLADMIT","90.3100000000000000","106.7600000000000000",2,"Upper Slope",48,"E",6,"15.0 – 30.0 degrees",6,"Poor",0,529,"8.0000000000000000","Very Moist","3.0000000000000000","Morainal","2.0000000000000000","Gleysolic","5","Gleysol","ORT","Orthic",64,"Loamy",37,,37,6,"121.1600000000000000","0.0000000000000000",25,"non-calcareous"
1363,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP11","White birch - white spruce - balsam fir","Fresh sandy clay loam","35.5000000000000000","BETUPAP","RIBEGLA","ARALNUD","BRYOSPP","168.9700000000000000","170.0700000000000000",3,"Mid Slope",270,"W",4,"5.0 – 9.0 degrees",5,"Imperfect",0,401,"7.0000000000000000","Moist","7.0000000000000000","Organic","1.0000000000000000","Organic","18","Folisol","HEM","Hemic",33,"LFH",,,,57,"160.6400000000000000","2.2500000000000000",38,"non-calcareous"
1364,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS5","Jack pine - white birch/feathermoss","Moderately dry sand","46.2500000000000000","BETUPAP","ALNUCRI","LYCOCLA","PLEUSCH","87.9100000000000000","103.2100000000000000",1,"Crest",999,"L",1,"0 – 0.5 degrees",3,"Well",1,516,"4.0000000000000000","Fresh","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ORT","Orthic",17,"Loamy",,,,3,"115.5100000000000000","0.7500000000000000",35,"non-calcareous"
1365,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP18","Black spruce - tamarack treed swamp","Wet humic organic","82.5000000000000000","LARILAR","LEDUGRO","LINNBOR","PLEUSCH","113.7600000000000000","133.8100000000000000",6,"Depression",999,"L",1,"0 – 0.5 degrees",7,"Very poor",0,387,"10.0000000000000000","Wet","7.0000000000000000","Organic","1.0000000000000000","Organic","1","Fibrisol","TYP","Typic",0,"Organic Fibric",,19,,160,"126.4300000000000000","2.0000000000000000",58,"non-calcareous"
1366,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP18","Black spruce - tamarack treed swamp","Wet humic organic","72.4000015300000000","LARILAR","LEDUGRO","CAREDIS","HYLOSPL","101.9950000000000000","121.2450000000000000",6,"Depression",999,"L",1,"0 – 0.5 degrees",7,"Very poor",0,384,"11.0000000000000000","Very Wet","7.0000000000000000","Organic","1.0000000000000000","Organic","1","Fibrisol","TYP","Typic",0,"LFH",,31,,160,"135.9200000000000000","0.0000000000000000",61,"non-calcareous"
1367,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS4","Jack pine - black spruce/feathermoss","Moderately dry sand","57.0000000000000000","PINUBAN","ALNUCRI","POLYSP1","CLADSTE","75.9200000000000000","85.9200000000000000",3,"Mid Slope",120,"E",7,"> 30.0 degrees",3,"Well",1,528,"4.0000000000000000","Fresh","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ORT","Orthic",39,"Coarse-Silty",,,,11,"95.5200000000000000","3.0000000000000000",30,"non-calcareous"
1369,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS16","Black spruce/balsam poplar swamp/river alder swamp","Very moist mesic organic","59.5000000000000000","PICEMAR","VACCVIT","EQUISYL","PLEUSCH","101.7500000000000000","175.9500000000000000",7,"Level",999,"L",1,"0 – 0.5 degrees",6,"Poor",0,517,"8.0000000000000000","Very Moist","5.0000000000000000","Glacial-lacustrine","2.0000000000000000","Gleysolic","5","Gleysol","REG","Rego",0,"Coarse-Silty",,0,,20,"189.0000000000000000","2.0000000000000000",32,"non-calcareous"
1370,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS9","Black spruce - jack pine/feathermoss","Moderately fresh sandy loam","50.3333320600000000","PICEMAR","ALNUCRI",,"PLEUSCH","106.6100000000000000","180.5600000000000000",3,"Mid Slope",240,"W",3,"2.0 – 5.0 degrees",3,"Well",0,531,"4.0000000000000000","Fresh","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",10,"Sandy",,,,7,"191.7600000000000000","0.0000000000000000",30,"non-calcareous"
1371,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP10","Trembling aspen - white spruce/feathermoss","Fresh silty loam","55.0000000000000000","POPUTRE","ROSAACI","MITENUD","PLEUSCH","83.1600000000000000","119.4100000000000000",4,"Lower Slope",999,"L",1,"0 – 0.5 degrees",4,"Moderately well",0,363,"6.0000000000000000","Moderately Moist","4.0000000000000000","Lacustrine","5.0000000000000000","Brunisolic","8","Eutric				","GEL","Gleyed Eluviated",31,"Fine-Clayey",,,,7,"136.3000000000000000","0.5100000000000000",43,"non-calcareous"
1372,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS4","Jack pine - black spruce/feathermoss","Moderately dry sand","51.2000007600000000","PICEMAR","LEDUGRO","POLYVIR","PLEUSCH","41.7100000000000000","96.6100000000000000",1,"Crest",999,"L",1,"0 – 0.5 degrees",2,"Rapid",0,543,"2.0000000000000000","Moderately Dry","3.0000000000000000","Morainal","5.0000000000000000","Brunisolic","9","Dystric			","ORT","Orthic",68,"Bedrock",10,,10,6,"101.2600000000000000","0.5000000000000000",26,"non-calcareous"
1373,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS3","Jack pine/blueberry/lichen","Moderately fresh sand","43.7500000000000000","PINUBAN","VACCMYR","CARESP1","CLADRAN","127.7400000000000000","193.2400000000000000",1,"Crest",999,"L",7,"> 30.0 degrees",5,"Imperfect",1,557,"7.0000000000000000","Moist","9.0000000000000000","Rock","8.0000000000000000","Nonsoil","19","Nonsoil","NS",,0,"Bedrock",6,,6,7,"122.2700000000000000","14.7700000000000000",25,"non-calcareous"
1374,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP3","Jack pine/feathermoss","Moderately fresh loamy sand","65.0000000000000000","PINUBAN","VACCVIT","LINNBOR","PLEUSCH","77.3050000000000000","99.5050000000000000",3,"Mid Slope",80,"E",5,"9.0 – 15.0 degrees",1,"Very rapid",0,394,"2.0000000000000000","Moderately Dry","1.0000000000000000","Fluvial","5.0000000000000000","Brunisolic","8","Eutric				","ELU","Eluviated",0,"Sandy",,,,7,"120.8000000000000000","0.0000000000000000",43,"non-calcareous"
1375,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP12","Jack pine - spruce/feathermoss","Fresh loamy sand","53.8750000000000000","PINUBAN","VACCMYR","LINNBOR","PLEUSCH","89.3300000000000000","101.0800000000000000",2,"Upper Slope",66,"E",3,"2.0 – 5.0 degrees",1,"Very rapid",0,382,"2.0000000000000000","Moderately Dry","1.0000000000000000","Fluvial","5.0000000000000000","Brunisolic","8","Eutric				","ELU","Eluviated",24,"Gravelly",92,,92,6,"106.0300000000000000","0.5000000000000000",42,"non-calcareous"
1376,"2002","BP","Boreal Plain","E19","La Ronge Lowland","BP6","Trembling aspen/beaked hazel/sarsaparilla","Fresh loamy sand","83.0000000000000000","POPUTRE","ALNUCRI","LINNBOR","HYLOSPL","189.1500000000000000","229.8500000000000000",2,"Upper Slope",999,"L",1,"0 – 0.5 degrees",2,"Rapid",0,401,"2.0000000000000000","Moderately Dry","4.0000000000000000","Lacustrine","4.0000000000000000","Luvisolic","7","Gray						","BRU","Brunisolic",0,"Sandy",,,,8,"174.4100000000000000","0.2500000000000000",35,"non-calcareous"
1377,"2002","BS","Boreal Shield","C9","Pasfield Lake Plain","BS5","Jack pine - white birch/feathermoss","Moderately dry sand","67.2500000000000000","BETUPAP","ALNUCRI",,"PLEUSCH","58.8500000000000000","139.2500000000000000",4,"Lower Slope",353,"N",1,"0 – 0.5 degrees",2,"Rapid",0,347,"3.0000000000000000","Moderately Fresh","1.0000000000000000","Fluvial","5.0000000000000000","Brunisolic","9","Dystric			","ELU","Eluviated",37,"Sandy",,,,5,"147.6500000000000000","0.0000000000000000",27,"non-calcareous"
1378,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS9","Black spruce - jack pine/feathermoss","Moderately fresh sandy loam","55.5000000000000000","PICEMAR","LEDUGRO","LYCOANN","PLEUSCH","106.4500000000000000","132.5500000000000000",6,"Depression",999,"L",1,"0 – 0.5 degrees",6,"Poor",1,533,"8.0000000000000000","Very Moist","3.0000000000000000","Morainal","2.0000000000000000","Gleysolic","5","Gleysol","REG","Rego",10,"Loamy",75,,75,12,"121.6500000000000000","20.0000000000000000",28,"non-calcareous"
1379,"1999 2000","BS","Boreal Shield","D4","Foster Upland","BS4","Jack pine - black spruce/feathermoss","Moderately dry sand","54.5000000000000000","PICEMAR","VACCVIT","LYCOANN","PLEUSCH","182.8500000000000000","224.1000000000000000",2,"Upper Slope",80,"E",3,"2.0 – 5.0 degrees",2,"Rapid",0,538,"2.0000000000000000","Moderately Dry","7.0000000000000000","Organic","1.0000000000000000","Organic","18","Folisol","HEM","Hemic",5,"LFH",25,,25,17,"212.5000000000000000","0.0000000000000000",31,"non-calcareous"
