"","V1","V2","V3","V4"
"178",0.112603816171047,0.460780094998903,0.407326013202824,0.30482182592691
"179",0.0894208871424155,0.502646848326361,0.394652208481311,0.227282658545042
"180",0.0257278206130424,0.322584010873551,0.515193343008139,0.139789210616587
"181",0.113518768177447,0.412779995219501,0.357370539366172,0.273057839525613
"184",0.119075380882196,0.448741618623785,0.34185943819662,0.300838580247644
"188",0.132949416214574,0.406310229165932,0.230181026961522,0.246013322596777
"191",0.0954184727312418,0.469896906376735,0.400828893409288,0.27780626052558
"196",0.111590890440742,0.513273929055884,0.365602537827925,0.284649483205182
"199",0.117724346909336,0.509937439876878,0.389171267876034,0.310085308846743
"200",0.12902872883926,0.417792047770986,0.375333248379872,0.316859296508914
"203",0.0509137848127405,0.346089652096718,0.53467272816832,0.189758246136656
"204",0.226369779699815,0.2851878516347,0.250972553573646,0.366885829079352
"205",0.114438147256418,0.49234144419641,0.344364858851691,0.281639440788192
"206",0.0876782727833326,0.482499640290494,0.336970430653295,0.246025687679529
"207",0.172720746991766,0.396698724399011,0.3235078159281,0.343154542113194
"209",0.0810248928628436,0.473768481637884,0.341682142746707,0.232250097375025
"210",0.180508512655896,0.444767776906928,0.3812014258227,0.380224854654543
"211",0.0917446931223861,0.535027194574423,0.353518795733958,0.276384230717126
"213",0.080599198114586,0.536385914404802,0.350978054632771,0.257390048729531
"214",0.0665705231979286,0.508366293186471,0.355426913783637,0.21151706020399
"215",0.129791923516334,0.517460220353176,0.353064960286991,0.329096070270667
"216",0.0793166371508152,0.441788294142273,0.301268911569994,0.169864307698748
"218",0.0590809303354851,0.524495820200831,0.395817465151735,0.197871301746382
"220",0.059940144329403,0.447366451476205,0.588996893010581,0.227248831498393
"221",0.15078047410222,0.412704004845042,0.441563467468162,0.34644324147853
"223",0.119124092712949,0.527541193588548,0.43699470737808,0.30710498690528
"224",0.118305721823877,0.532327027341255,0.409072651584618,0.334858460706578
"225",0.0736843675328365,0.479752359332992,0.301529811191453,0.176856636550742
"235",0.104211407953045,0.411759677000109,0.279508248158868,0.192972535669722
"237",0.0598121044536796,0.394577134959333,0.555577403320552,0.214451387956793
"238",0.0917686782193288,0.441444658351231,0.370407492416354,0.270222668198261
"239",0.104176094852735,0.442930151170403,0.302417362573179,0.246895066189586
"240",0.0272058137997903,0.179969641198013,0.383639104358965,0.0988864561654457
"242",0.185188712941376,0.421833954187467,0.279148499680621,0.348102884433703
"243",0.0518467201170004,0.486784791441785,0.408845602996046,0.236416175004522
"244",0.0891610422029045,0.497727836724389,0.403212096800646,0.251903958656798
"245",0.12898274009335,0.418625814465537,0.255826000324016,0.253094231624864
"247",0.111060385288243,0.432445323846881,0.353256500833566,0.240378229695687
"248",0.0782266149973729,0.438434949169172,0.328812777053339,0.220786017322087
