"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"630",0.197709165736325,0.275414178908545,0.432754016655254,0.585450239975599,0.275035440255047,0.39206541478695,0.32236492776655,0.418494384186302,0.430887994018785,0.469296402838933
"632",0.686031070969368,0.299618697748216,0.33152990388011,0.311821369828161,0.381197904037547,0.262212786445139,0.481362818756513,0.353341136012657,0.378209208999094,0.361966896619478
"656",0.345894127272724,0.18489567746037,0.247276938110251,0.415147980218723,0.216146780377618,0.53756632563859,0.306798505093223,0.480226290012767,0.475084118187179,0.253885748107512
"658",0.24264013905418,0.218747365128651,0.243191822447611,0.410222438757268,0.222981205365574,0.723116157070067,0.218279378268474,0.537762440657625,0.455187420735047,0.258762082751003
"661",0.312027001517441,0.324307681298133,0.782385826216022,0.610181650113756,0.509153019585446,0.334513953576501,0.492794731888427,0.390441419000863,0.484140032639261,0.722168695802651
"664",0.330025868615591,0.354573429739785,0.775543802959468,0.622956315273742,0.53525561307374,0.35849348846563,0.502019333909645,0.424422409345076,0.521921007474436,0.742180697208996
"740",0.296050278766126,0.329807709581487,0.748447696618237,0.558535918983872,0.479104027320246,0.264148729308413,0.47643036074111,0.315484501379889,0.437315282244839,0.684361192299674
"762",0.188359107083708,0.353696577010041,0.223677850556326,0.307221244065282,0.242770022944693,0.227538290213663,0.174858238325025,0.25488944409693,0.242680227377135,0.257373245395865
"765",0.340304324855905,0.312477566810126,0.60926562156969,0.600003597044518,0.498315834366305,0.540854368522934,0.474684980504275,0.542470463300475,0.569855443208169,0.61664215160154
"768",0.338692839194081,0.164440959793602,0.38701728405217,0.457390311178325,0.309909050165216,0.656679871362366,0.411989095446353,0.483140930028655,0.558963782972842,0.336761049126794
"771",0.614902714548902,0.137418957715787,0.399956567620323,0.330577523563229,0.304004969628554,0.200424585567408,0.582150283838435,0.191806527343098,0.403233866398613,0.352442320040202
"773",0.625864452656768,0.345490191083444,0.374451949643518,0.369343483275694,0.405230991448508,0.260886030374792,0.527610154721684,0.363874839642697,0.460722517792299,0.405422238028737
"792",0.500769586517279,0.25852876860678,0.686618608670329,0.52078658186043,0.456072983114322,0.262171426807529,0.667751271781077,0.305585784430272,0.546251542423736,0.621383537770571
"804",0.326906081665233,0.195457260491799,0.292052502456941,0.38599698860141,0.272226311424212,0.618444210423432,0.309475654646959,0.505107549545565,0.474337402195455,0.279108713892389
"805",0.369444964544532,0.351825329634542,0.748758378785591,0.557755505926845,0.569304557483657,0.268279609905746,0.551583070982493,0.381152060197526,0.518321315326263,0.74849364703998
"806",0.232910632299859,0.291049532144881,0.655466934441576,0.619831939538634,0.364490032442745,0.454678284560065,0.390273568706329,0.436664330247525,0.483084562180073,0.60933561202708
