"","cluster","neighbor","sil_width","fec_vegfor_log_hc_cut_ward_4"
"304",1,2,0.227261979067458,2
"1140",1,2,0.226702546149707,4
"440",1,2,0.226511512892816,2
"1360",1,2,0.223935412718572,4
"3",1,2,0.223913057072663,2
"873",1,2,0.223777232106871,2
"420",1,2,0.223333064984696,2
"1772",1,2,0.223154445959412,4
"2016",1,2,0.223145275719212,3
"1771",1,2,0.222762491166609,2
"1139",1,2,0.222341969156009,4
"1038",1,2,0.221725379382498,4
"260",1,2,0.221396563177349,4
"1816",1,2,0.219430165593893,4
"18",1,2,0.218826276436434,4
"1981",1,2,0.217662221978505,4
"571",1,2,0.217581724368883,4
"456",1,2,0.217549160650422,4
"526",1,2,0.216539266700693,4
"1843",1,2,0.216533014057058,4
"1927",1,2,0.215608287141818,4
"1069",1,2,0.214106270284909,3
"1353",1,2,0.214062092200549,4
"1756",1,2,0.213456857124573,2
"580",1,2,0.2127978403682,4
"1775",1,2,0.212282986290286,2
"319",1,2,0.211626494055886,3
"1074",1,2,0.211051513866791,2
"288",1,2,0.209679064810715,2
"1027",1,2,0.208928429050105,2
"657",1,2,0.208664371085701,2
"458",1,2,0.205952654493196,2
"1940",1,2,0.20451352477523,2
"1737",1,2,0.204008147912008,2
"690",1,2,0.203723791395309,2
"1788",1,2,0.202868027627219,2
"1153",1,2,0.202369080749456,3
"2006",1,2,0.202197613264667,3
"1008",1,2,0.2020299577099,2
"470",1,2,0.20097804300922,2
"11",1,2,0.200635082499971,4
"1757",1,2,0.199881355777886,2
"14",1,2,0.199014510234356,2
"1029",1,2,0.198162231085082,4
"1035",1,2,0.197539274022147,3
"1743",1,2,0.197116556942177,2
"678",1,2,0.19587369465817,3
"1903",1,2,0.194214749647983,2
"838",1,2,0.193004332822212,4
"1206",1,2,0.192950097315902,4
"1083",1,2,0.19282076248808,2
"1887",1,2,0.192565379582319,2
"1234",1,2,0.191771950930369,2
"1197",1,2,0.190491917277809,4
"23",1,2,0.190096018304904,2
"1424",1,2,0.189757639393069,4
"1082",1,2,0.188160812051241,2
"1482",1,2,0.188065837777504,4
"24",1,2,0.188044187787008,4
"553",1,2,0.187787416341688,3
"1466",1,2,0.187730192446757,3
"519",1,2,0.186261183885237,2
"1438",1,2,0.18409545377647,4
"272",1,2,0.182976823401099,4
"1080",1,2,0.182830757731854,2
"2035",1,2,0.18090305629035,4
"1790",1,2,0.179522771953396,4
"282",1,2,0.179442597014839,2
"37",1,2,0.179176535485636,4
"58",1,2,0.178712504206451,4
"33",1,2,0.178626805273276,4
"1467",1,2,0.178317830841119,2
"1469",1,2,0.177917293256335,4
"1152",1,2,0.177177356831088,4
"1056",1,2,0.175455764575302,4
"435",1,2,0.174439764269729,2
"634",1,2,0.17440974495825,4
"1777",1,2,0.173904846109227,4
"381",1,2,0.172696843912407,4
"1358",1,2,0.172330819698121,4
"1935",1,2,0.171325562986981,2
"1428",1,2,0.170008059488513,3
"514",1,2,0.169575835423659,2
"1435",1,2,0.169251837917225,4
"1554",1,2,0.168382977418894,4
"1925",1,2,0.167877963935737,2
"942",1,2,0.167290757966203,4
"12",1,2,0.166959106180914,2
"1218",1,2,0.164267108203737,3
"311",1,2,0.164033680247577,4
"541",1,2,0.163851478385579,2
"1956",1,2,0.163512822461471,2
"416",1,2,0.162794440945098,4
"1133",1,2,0.161096835540179,4
"434",1,2,0.160895479949774,3
"1919",1,2,0.160862655226824,4
"1437",1,2,0.160373294611019,4
"1009",1,2,0.160222023281004,2
"1950",1,2,0.15881426472522,4
"1030",1,2,0.156823922039424,4
"1505",1,2,0.15570702234334,2
"421",1,2,0.154862079638675,2
"20",1,2,0.154602842687242,2
"1077",1,2,0.153689144785362,2
"1957",1,2,0.153615601483615,2
"1079",1,2,0.153522578231261,2
"699",1,2,0.153083568561171,2
"1541",1,2,0.152795617083333,4
"1783",1,2,0.150980101068663,4
"1768",1,2,0.150908506243416,2
"31",1,2,0.150704790830669,4
"695",1,2,0.14842399985295,2
"119",1,2,0.146123072614273,2
"1945",1,2,0.145774986713964,2
"419",1,2,0.141743617836004,2
"1655",1,2,0.140110311518382,2
"810",1,2,0.139790351223676,4
"1470",1,2,0.139405872151438,4
"1217",1,2,0.139003736705107,4
"371",1,2,0.138319415805649,2
"1973",1,2,0.13791109114801,2
"675",1,2,0.136360505655455,4
"1086",1,2,0.136217451319865,4
"1845",1,2,0.134086013643244,2
"1049",1,2,0.133180412920215,4
"41",1,2,0.132185651459626,3
"1994",1,2,0.131928697755461,3
"35",1,2,0.131270357710305,2
"1150",1,2,0.131043922831777,4
"1785",1,2,0.129913127812217,4
"1946",1,2,0.129842437465829,4
"531",1,2,0.124380185330682,4
"681",1,2,0.122507631659046,2
"402",1,2,0.118427093790367,2
"306",1,2,0.117294941185365,2
"1413",1,2,0.116938722987538,2
"1402",1,2,0.115996038418601,2
"1769",1,2,0.11474868436838,4
"1792",1,2,0.113963725814091,4
"492",1,2,0.113391580848113,4
"1219",1,2,0.113195907172274,4
"104",1,2,0.111569252363719,4
"1579",1,2,0.111178937807315,3
"1948",1,2,0.109771657853166,4
"1782",1,2,0.109549196176813,2
"1865",1,2,0.109548666646443,3
"1972",1,2,0.10712765529465,4
"253",1,2,0.106706659873676,3
"1983",1,2,0.106237216489707,4
"1937",1,2,0.104555696955175,4
"427",1,2,0.103632173331787,2
"1671",1,2,0.102126621256666,4
"1429",1,2,0.101510792711428,2
"1043",1,2,0.101017643121234,1
