"","MDS1","MDS2","MDS3"
"Plagiothecium",0.0561210713149544,-0.0913109745946048,-0.0710453800424678
"Equisetum_sylvaticum",0.0526172708966083,-0.250897123068452,-0.0328235063797944
"Tetraplodon",0.0523261637178179,0.0256915383132411,-0.0167841523126212
"Anastrophyllum",0.0454375231348451,-0.0803252984000863,-0.0912027479770712
"Calliergon",0.0429151247821682,-0.217674601202103,-0.11877239915855
"Tomentypnum",0.0419073499965101,-0.313234338275516,-0.0321893897758432
"Tortella",0.0388259237581725,0.112154389804717,0.0175235952434495
"Lophozia",0.0345631511820247,-0.131508201834938,-0.129044578526136
"Melampyrum_lineare",0.0342999040470532,0.172758124774367,0.0662047640046086
"Lycopodium_clavatum",0.0317875081808088,0.010266020818298,0.0137990304610514
"Gaultheria_hispidula#seed_shrb",0.0278040303366389,-0.145290898098168,0.0241361858722713
"Coptidium_lapponicum",0.015508495032342,-0.180845618680717,-0.000203989176433429
"Nephroma",0.0126627361977503,-0.0835814679255971,-0.0761222191604305
"Agrostis_scabra",0.0126398866590701,0.138494340023378,-0.139403810515256
"Blepharostoma",0.00858849009549811,-0.166429959269354,-0.0912476436816389
"Larix_laricina#ostr_tree",0.00752794400207279,-0.336718933754262,-0.0131252771462815
"Peltigera",0.00422019449234589,-0.194534159354529,-0.084039586127506
"Polypodium_virginianum",-0.00187353100322196,0.0152596870160326,-0.0512129559732926
"Equisetum_scirpoides",-0.009258217506151,-0.345963787165658,0.00573933133654498
"Vaccinium_cespitosum#seed_shrb",-0.00935423511381041,0.0551245218923919,-0.0741395559259182
"Alnus_viridis#seed_shrb",-0.013190777684704,0.185824646583689,0.199615700645183
"Solidago_simplex",-0.013549967216036,0.122230835403228,0.0304043104169857
"Diphasiastrum_complanatum",-0.0173065389110443,0.0808175380933631,0.0713731692478876
"Piptatheropsis_pungens",-0.0205732291245435,0.187003979088137,0.00578936742370434
"Candelaria",-0.0209076698634847,-0.0220198188838775,-0.0735000762594413
"Carex_disperma",-0.0219837407129938,-0.171154002694691,-0.078548376604861
"Ceratodon",-0.0270083318483336,0.0375724783835393,-0.222126060256993
"Geocalyx",-0.0331205149907465,-0.150326150508292,-0.0627021154806705
"Helodium",-0.0378477072550583,-0.144700819956141,-0.0166773031039663
"Parmelia",-0.0416368723797799,-0.224505858827984,-0.263200969552567
"Leptobryum",-0.0435676987107905,-0.116459429916738,-0.0764562123432903
"Juniperus_communis#seed_shrb",-0.0476853581505063,0.099044066614177,-0.131381515611178
"Goodyera_repens",-0.0481561139085315,0.00313664038184704,0.0888792084954592
"Moneses_uniflora",-0.0481892606033712,-0.16707878862774,0.0177783938280361
"Ptilium",-0.0493325660867348,-0.287330196259564,0.265439042959412
"Coptis_trifolia",-0.0512800697641508,-0.0517075508959562,0.0950030760221221
"Tetraphis",-0.0520216781285023,-0.113849067790607,-0.0451637688340985
"Alnus_viridis#sapl_shrb",-0.0555053441631207,0.0963979460949898,0.190436556394898
"Betula_papyrifera#sapl_shrb",-0.0558781399250396,-0.125627711012472,-0.125431900637781
"Dendrolycopodium_dendroideum",-0.0630489645872144,0.00303614806071342,0.116739338128679
"Calamagrostis_canadensis",-0.0697343442021338,-0.0831107619162912,-0.040704245963624
"Ribes_hudsonianum#seed_shrb",-0.0741864618059299,-0.210581921453345,-0.00252549702534319
"Gymnocarpium_dryopteris",-0.0755925450934248,-0.124615114992,-0.0374802336292566
"Phaeophyscia",-0.0778152817205656,0.01532082110328,-0.11684073884958
"Betula_papyrifera#seed_shrb",-0.0804934668330989,-0.0624392374762836,-0.0945141949826661
"Caltha_palustris",-0.0805118851392745,-0.20516234798975,-0.0577543405681629
"Anemone_multifida",-0.0808201798297208,0.241146071569583,-0.0636627508035868
"Erigeron_glabellus",-0.09112988421451,0.11394855102288,-0.0902041794334391
"Heuchera_richardsonii",-0.0959770029579932,0.211425419132945,-0.00682426582099216
"Equisetum_pratense",-0.0977265423795649,-0.0510755011258065,0.0113112224987916
"Juniperus_horizontalis#seed_shrb",-0.0996981070572661,0.11944638015284,-0.0536154291826719
"Platygyrium",-0.100293321955049,-0.0812324048581532,-0.0446115241842204
"Bryum",-0.101147381273306,-0.186568926874156,-0.18227995404329
"Rubus_arcticus",-0.101952854437556,-0.192536782895085,0.0755556420448889
"Sorbus_scopulina#seed_shrb",-0.104358765146433,-0.0546727520880164,0.00613671633226467
"Alnus_incana#seed_shrb",-0.105173658582478,-0.220225216416864,-0.0584115754616743
"Hylocomium",-0.106990654247606,-0.431594812126862,0.237816427562807
"Thuidium",-0.109168908307497,-0.136934300362765,-0.0381453552555204
"Equisetum_hyemale",-0.109464050437678,0.159877152456952,-0.0674651318300867
"Dasiphora_fruticosa#seed_shrb",-0.11118379850018,0.0211764251343682,-0.00532844006199163
"Jamesoniella",-0.111963909599713,-0.117119949524395,-0.00415381323855368
"Herzogiella",-0.112404274540757,-0.15106709069232,-0.00671612425580898
"Hieracium_umbellatum",-0.113545208971277,0.0922069325084518,-0.0248207981327456
"Corallorhiza_maculata",-0.114765288933415,0.00110910981272016,0.0469276198214932
"Spinulum_annotinum",-0.121301516660136,-0.0808557328057759,0.153227514749641
"Alnus_incana#sapl_shrb",-0.123755616249265,-0.224602564636145,-0.0622527668063694
"Ochrolechia",-0.126390548111009,-0.0334436048596541,-0.108932240031759
"Cirsium_arvense",-0.130362931487504,-0.061953080056498,-0.10179759849369
"Leymus_innovatus",-0.132812771358051,0.0652775773826539,0.0867155645424473
"Thermopsis_rhombifolia",-0.133872497146729,0.251494043722361,-0.080962887590596
"Hypnum",-0.138572946958677,-0.2107666258566,-0.0644464468891738
"Lonicera_villosa#seed_shrb",-0.139424283511641,-0.165734132916137,0.0318642493305291
"Viola_adunca",-0.140112811111903,0.072519603274109,0.035287349673862
"Climacium",-0.141836367225866,-0.170054842707868,-0.0551355102223899
"Callicladium",-0.14548425455388,-0.0466340052710995,-0.065258056314004
"Ribes_glandulosum#seed_shrb",-0.153328382115757,-0.130150013509376,-0.061178030302471
"Moehringia_lateriflora",-0.153374943925625,0.0256172394983981,-0.0446020098574267
"Pyrola_chlorantha",-0.154876058788422,-0.139519099602557,-0.0364532283291488
"Lophocolea",-0.155592815742617,-0.182548814834852,-0.0849400016355371
"Campanula_rotundifolia",-0.156480971660697,0.291229754966969,-0.0403811165688555
"Sonchus_arvensis",-0.157892811339077,0.0880733978355603,-0.154536795172631
"Mnium",-0.169614450694689,-0.141116004195317,-0.0544951229605977
"Melanelia",-0.172707241415768,0.00535541013656478,-0.290578031544928
"Caloplaca",-0.173862736089289,0.0574053049985478,-0.135443346204308
"Oryzopsis_asperifolia",-0.174934075591199,0.0830647435116309,0.0171278995398173
"Oncophorus",-0.175673879400459,-0.171759997757448,-0.0792522301358043
"Solidago_canadensis",-0.180434986666302,0.0736658157505891,-0.102113930682308
"Mentha_arvensis",-0.18745677019209,0.0981327072725501,-0.12329146905576
"Lonicera_oblongifolia#seed_shrb",-0.188292480597988,-0.0163433445282821,-0.0835696575389917
"Schizachne_purpurascens",-0.193594922838288,0.0755210508097851,0.02077856086241
"Apocynum_androsaemifolium",-0.197622781810969,0.194546442926328,-0.025632449526042
"Betula_papyrifera#ostr_tree",-0.199166400058757,-0.206760520188689,-0.0379429843725154
"Endotropis_alnifolia#seed_shrb",-0.202007125798968,-0.112110847557341,-0.0533540282361406
"Shepherdia_canadensis#seed_shrb",-0.205035327654,0.0417990932948181,-0.0737923006237894
"Prunus_pensylvanica#sapl_shrb",-0.209823710402554,0.0752428521789638,0.00425285228044958
"Circaea_alpina",-0.2124440452338,-0.121223424677285,-0.0529033342017005
"Acer_spicatum#seed_shrb",-0.213421299541435,-0.0821947496580075,-0.074938604014518
"Campylium",-0.215765223758756,-0.242307024153578,-0.113621156377745
"Prunus_pensylvanica#seed_shrb",-0.217312199088607,0.230642537753234,0.0141924521252962
"Sanionia",-0.218452951300176,-0.220825810176368,-0.16501994557763
"Fragaria_vesca",-0.218486902694772,-0.0791013558931391,0.0139266129562797
