"","cluster","neighbor","sil_width"
"1655",1,2,0.140110311518382
"810",1,2,0.139790351223676
"1470",1,2,0.139405872151438
"1217",1,2,0.139003736705107
"371",1,2,0.138319415805649
"1973",1,2,0.13791109114801
"675",1,2,0.136360505655455
"1086",1,2,0.136217451319865
"1845",1,2,0.134086013643244
"1049",1,2,0.133180412920215
"41",1,2,0.132185651459626
"1994",1,2,0.131928697755461
"35",1,2,0.131270357710305
"1150",1,2,0.131043922831777
"1785",1,2,0.129913127812217
"1946",1,2,0.129842437465829
"531",1,2,0.124380185330682
"681",1,2,0.122507631659046
"402",1,2,0.118427093790367
"306",1,2,0.117294941185365
"1413",1,2,0.116938722987538
"1402",1,2,0.115996038418601
"1769",1,2,0.11474868436838
"1792",1,2,0.113963725814091
"492",1,2,0.113391580848113
"1219",1,2,0.113195907172274
"104",1,2,0.111569252363719
"1579",1,2,0.111178937807315
"1948",1,2,0.109771657853166
"1782",1,2,0.109549196176813
"1865",1,2,0.109548666646443
"1972",1,2,0.10712765529465
"253",1,2,0.106706659873676
"1983",1,2,0.106237216489707
"1937",1,2,0.104555696955175
"427",1,2,0.103632173331787
"1671",1,2,0.102126621256666
"1429",1,2,0.101510792711428
"1043",1,2,0.101017643121234
"1483",1,2,0.100529612131847
"564",1,2,0.0993004537564954
"30",1,2,0.0976243148023808
"1944",1,2,0.0952014027769711
"1137",1,2,0.0943961990012262
"1603",1,2,0.093966121161662
"1401",1,2,0.0937092726417599
"673",1,2,0.0935707043669542
"318",1,2,0.0930190676748825
"332",1,2,0.0926395139090234
"1087",1,2,0.0911294599638333
"791",1,2,0.0909202289631471
"117",1,2,0.0893546237732507
"1799",1,2,0.0856190448577031
"1028",1,2,0.0855117201839872
"1476",1,2,0.0819928209922893
"2040",1,2,0.0819399225702738
"1738",1,2,0.0804506948820409
"807",1,2,0.079914834508751
"703",1,2,0.0793529183959695
"1432",1,2,0.0764446542438687
"1057",1,2,0.0744169517962319
"568",1,2,0.0743848793210837
"1583",1,2,0.0731126402785192
"635",1,2,0.0731062526448448
"131",1,2,0.072275539091855
"1817",1,2,0.0716023955281472
"429",1,2,0.0689403200532243
"622",1,2,0.0662138170092227
"1969",1,2,0.0661235391158387
"204",1,2,0.0639439508368403
"1060",1,2,0.0628351324154865
"562",1,2,0.0625830218155764
"1382",1,2,0.0611121112934977
"298",1,2,0.0609126015655985
"1941",1,2,0.0591825873455766
"1740",1,2,0.0590917366678571
"1915",1,2,0.0585852205308719
"1577",1,2,0.0579886325830358
"758",1,2,0.0559145147528228
"413",1,2,0.0549355755816269
"433",1,2,0.0524345726543941
"878",1,2,0.0512406301891051
"299",1,2,0.0510119688196725
"1192",1,2,0.0501276233056388
"922",1,2,0.0495231976855089
"525",1,2,0.0493134785697884
"154",1,2,0.0492751132603053
"1895",1,2,0.0491318871449982
"1954",1,2,0.0490500117134959
"1184",1,2,0.0478061079376114
"53",1,2,0.0474274781457035
"455",1,2,0.046401363171004
"676",1,2,0.0463608650579892
"578",1,2,0.0455322293898702
"67",1,2,0.0452655282741227
"1325",1,2,0.0435923685008293
"1784",1,2,0.041858342819165
"561",1,2,0.0367253275140623
"325",1,2,0.0366100436697636
"844",1,2,0.0358722202839793
"1897",1,2,0.0336087074607263
"887",1,2,0.0327649002317125
"287",1,2,0.0315278728410102
"1091",1,2,0.0298651516284031
"1403",1,2,0.0287791071301463
"885",1,2,0.0248873034618874
"1933",1,2,0.0239601524028817
"1446",1,2,0.0168698780896431
"1357",1,2,0.0159983866126936
"1742",1,2,0.015888838867915
"912",1,2,0.0111310350557583
"59",1,2,0.0104133261155671
"1986",1,2,0.00889481855048224
"1804",1,2,0.00840954754770329
"1365",1,2,0.00807379904888861
"1494",1,2,0.00779970198964475
"1924",1,2,0.0066709130834699
"1896",1,2,0.00630794292917747
"1555",1,2,0.00241711979058301
"1400",1,2,0.00179755544043358
"1366",1,2,-0.00122219497745346
"309",1,2,-0.00668185716248038
"61",1,2,-0.00728505969861537
"1094",1,2,-0.0147642467054879
"314",1,2,-0.0187792423870913
"166",1,2,-0.0205176815506504
"1090",1,2,-0.0217816427860378
"452",1,2,-0.0312964576244948
"536",1,2,-0.0334833126007403
"1719",1,2,-0.03580531038373
"255",1,2,-0.0436133728790296
"1807",1,2,-0.0437088813020461
"1550",1,2,-0.0552671022134977
"776",1,2,-0.0625618934298864
"1968",1,2,-0.0783466406644411
"290",1,2,-0.0843678673958796
"849",1,2,-0.104498116397033
"1315",2,1,0.474107314548064
"808",2,1,0.470755922622945
"853",2,1,0.463298800586436
"803",2,1,0.459606468553583
"1559",2,1,0.457257991378603
"1574",2,1,0.455644464874744
"1593",2,1,0.455582107280127
"728",2,1,0.45449502577267
"866",2,1,0.45213820098032
"1329",2,1,0.451512520866012
"1657",2,1,0.450206946195182
"1636",2,1,0.448420792965864
"1619",2,1,0.448265651333048
"1624",2,1,0.448033868439306
"1394",2,1,0.446869352103067
"1330",2,1,0.445859842923612
"1303",2,1,0.445729363216037
"1540",2,1,0.445414392358283
"828",2,1,0.445120876042516
"865",2,1,0.444014387764899
"1362",2,1,0.443911136628206
"1537",2,1,0.443725301290476
"664",2,1,0.442881992561103
"585",2,1,0.442679960134481
"1334",2,1,0.442091963692404
"1367",2,1,0.442040275024469
"1573",2,1,0.441986791531841
"1341",2,1,0.441781130005309
"1318",2,1,0.44164772331573
"1616",2,1,0.441606874327272
"1356",2,1,0.440973241340714
"1652",2,1,0.44025345078218
"1316",2,1,0.439790468905734
"509",2,1,0.439657917870765
"768",2,1,0.439252128008027
"1645",2,1,0.438954832106658
"1592",2,1,0.437590090931954
"1620",2,1,0.437152211723986
"843",2,1,0.435658258750659
"618",2,1,0.435223134567219
"831",2,1,0.434862873054455
"1637",2,1,0.43465394809298
"630",2,1,0.433746303632884
"862",2,1,0.432876287267069
"1291",2,1,0.432799519625752
"1328",2,1,0.432287297443721
"1333",2,1,0.431913148337547
"1342",2,1,0.431139431201001
"658",2,1,0.430870897890849
"597",2,1,0.429663103401875
"824",2,1,0.429527239357784
"1348",2,1,0.429045524404313
"1654",2,1,0.428165421985608
"1681",2,1,0.427908645470549
"1535",2,1,0.427701622474879
"1644",2,1,0.427260300764371
"1024",2,1,0.427219876540074
"1642",2,1,0.426291333956989
"1571",2,1,0.426230163255043
"1293",2,1,0.425747217826652
"816",2,1,0.425297035128274
"1326",2,1,0.424830063343126
"1626",2,1,0.424678154174892
"1119",2,1,0.424582141738205
"1327",2,1,0.424008014040885
"341",2,1,0.423218318424664
"1551",2,1,0.422890761520903
"1704",2,1,0.422708567322028
"1699",2,1,0.422259153709383
"1706",2,1,0.421965790176124
"1320",2,1,0.42194044805967
"1285",2,1,0.421673800245401
"1610",2,1,0.421495502740072
"1125",2,1,0.421169836348741
"661",2,1,0.421164362903354
"1313",2,1,0.42110084635201
"1121",2,1,0.421047533814274
"1632",2,1,0.421027456833543
"614",2,1,0.420637769539976
"908",2,1,0.419969927035929
"1705",2,1,0.419766241562016
"1307",2,1,0.419704675718875
"857",2,1,0.419205455515813
"615",2,1,0.418853353590437
"869",2,1,0.41865203868891
"1622",2,1,0.418161762273657
"1484",2,1,0.41787398374667
"1591",2,1,0.417354679852039
"1629",2,1,0.416659372232973
"1627",2,1,0.416324924248281
"846",2,1,0.416055666078665
"604",2,1,0.415435259909967
"584",2,1,0.415283154982091
"1536",2,1,0.415209862940583
"833",2,1,0.415094052033597
"1304",2,1,0.414572326008233
"1337",2,1,0.413921468714369
"825",2,1,0.41382668562378
"1700",2,1,0.413764426676366
"1378",2,1,0.413665703883158
"573",2,1,0.413466864756042
"1339",2,1,0.413200524917586
"1288",2,1,0.411687936794792
"1372",2,1,0.411511665373386
"893",2,1,0.410893912634413
"1332",2,1,0.410700647600916
"1538",2,1,0.410683702850006
"1628",2,1,0.410584872789972
"1609",2,1,0.410491284783746
"1335",2,1,0.410395094450392
"218",2,1,0.410280356190214
"804",2,1,0.409837434188361
"997",2,1,0.408761712414186
"1309",2,1,0.408617050059757
"620",2,1,0.408004949591229
"785",2,1,0.407820126953386
"1566",2,1,0.407634900434014
"1729",2,1,0.407480101514003
"1572",2,1,0.407446838306945
"1568",2,1,0.407393447128978
"1122",2,1,0.407230070533198
"607",2,1,0.407172070988822
"1310",2,1,0.407033520138264
"1263",2,1,0.406793201342263
"1296",2,1,0.406601976640067
"619",2,1,0.406026727243182
"724",2,1,0.405618633912945
"740",2,1,0.405068247611192
"1068",2,1,0.405022874178121
"603",2,1,0.405015151940395
"1132",2,1,0.403796205840327
"848",2,1,0.403360155978611
"357",2,1,0.402993138713935
"596",2,1,0.402383553658637
"1127",2,1,0.402017103682325
"1037",2,1,0.401984777939306
"792",2,1,0.401833502078745
"1273",2,1,0.401656187539885
"1370",2,1,0.401539174763064
"826",2,1,0.401284836087714
"1690",2,1,0.401181622165853
"1564",2,1,0.401153661003187
"363",2,1,0.400576253272574
"1659",2,1,0.400396793193341
"1549",2,1,0.399663307894655
"1614",2,1,0.399368596230544
"814",2,1,0.39846260561659
"1688",2,1,0.398237180135589
"860",2,1,0.397291126724226
"1633",2,1,0.396933585205949
"1701",2,1,0.396869027949815
"903",2,1,0.396141577760136
"1380",2,1,0.395341619221913
"765",2,1,0.395214323842672
"1373",2,1,0.394887176514807
"1562",2,1,0.394870627777524
"1317",2,1,0.394633862787851
"859",2,1,0.394326859447235
"1294",2,1,0.393544825283572
"662",2,1,0.392950177273215
"1696",2,1,0.392881204025347
"1618",2,1,0.392780572509281
"78",2,1,0.392766068693132
