plant_community_code,analysis_name,prominence_value,constancy_percent
CPC21,Galium_boreale,0.95,54.5
CPC21,Hesperostipa_comata,3.44,100
CPC21,Hesperostipa_curtiseta,5.15,63.6
CPC21,Juncus_balticus,0.12,27.3
CPC21,Juniperus_horizontalis,2.26,27.3
CPC21,Koeleria_macrantha,3.28,100
CPC21,Lithospermum_incisum,0.35,36.4
CPC21,Orthocarpus_luteus,0.07,27.3
CPC21,Poa_interior,0.1,27.3
CPC21,Poa_pratensis,9.29,100
CPC21,Populus_tremuloides,1.36,36.4
CPC21,Prunus_virginiana,2.19,36.4
CPC21,Rosa_woodsii,6.71,100
CPC21,Solidago_missouriensis,2.09,72.7
CPC21,Sporobolus_rigidus,1.04,81.8
CPC21,Stellaria_longifolia,0.12,27.3
CPC21,Symphoricarpos_occidentalis,11.81,100
CPC21,Symphyotrichum_laeve,0.33,27.3
CPC21,Taraxacum_officinale,0.38,27.3
CPC21,Thermopsis_rhombifolia,0.71,63.6
CPC21,Vicia_americana,0.2,45.5
CPC21,Viola_adunca,0.28,27.3
CPC29,Achillea_millefolium,0.58,44.4
CPC29,Arabis_hirsuta,0.26,22.2
CPC29,Artemisia_frigida,1.76,66.7
CPC29,Artemisia_ludoviciana,1.88,44.4
CPC29,Astragalus_laxmannii,0.31,33.3
CPC29,Bouteloua_gracilis,1.83,33.3
CPC29,Bromus_ciliatus,2.78,22.2
CPC29,Campanula_rotundifolia,0.79,55.6
CPC29,Carex_filifolia,0.28,22.2
CPC29,Carex_obtusata,0.4,44.4
CPC29,Carex_pensylvanica,5.66,55.6
CPC29,Carex_prairea,4.55,22.2
CPC29,Cerastium_arvense,0.61,55.6
CPC29,Cirsium_arvense,0.71,22.2
CPC29,Cirsium_flodmanii,0.73,44.4
CPC29,Elaeagnus_commutata,6.13,22.2
CPC29,Elymus_trachycaulus,6.17,100
CPC29,Festuca_hallii,40.49,100
CPC29,Festuca_saximontana,0.26,22.2
CPC29,Galium_boreale,0.27,33.3
CPC29,Geum_triflorum,0.61,22.2
CPC29,Helictochloa_hookeri,0.35,33.3
CPC29,Hesperostipa_curtiseta,11.22,88.9
CPC29,Koeleria_macrantha,2.38,44.4
CPC29,Muhlenbergia_cuspidata,0.92,33.3
CPC29,Poa_interior,0.82,22.2
CPC29,Poa_pratensis,3.16,66.7
CPC29,Rosa_arkansana,3.38,100
CPC29,Salix_bebbiana,1.07,55.6
CPC29,Salix_petiolaris,0.23,33.3
CPC29,Solidago_canadensis,0.77,33.3
CPC29,Solidago_missouriensis,0.4,22.2
CPC29,Solidago_simplex,0.59,22.2
CPC29,Symphoricarpos_occidentalis,22.33,100
CPC29,Symphyotrichum_falcatum,2.22,77.8
CPC29,Symphyotrichum_laeve,2.54,66.7
CPC29,Vicia_americana,0.49,55.6
CPC5,Achillea_millefolium,0.83,87.5
CPC5,Agoseris_glauca,0.2,34.4
CPC5,Agrostis_scabra,0.66,59.4
CPC5,Amelanchier_alnifolia,1.51,25
CPC5,Androsace_septentrionalis,0.2,46.9
CPC5,Artemisia_campestris,0.83,43.8
CPC5,Artemisia_frigida,4.63,93.8
CPC5,Artemisia_ludoviciana,1.98,96.9
CPC5,Bouteloua_gracilis,0.81,34.4
CPC5,Bromus_inermis,1.1,25
CPC5,Campanula_rotundifolia,0.22,56.3
CPC5,Carex,5.03,90.6
CPC5,Cerastium_arvense,1.52,78.1
CPC5,Comandra_umbellata,0.35,40.6
CPC5,Elaeagnus_commutata,8.62,100
CPC5,Elymus_trachycaulus,2.75,93.8
CPC5,Equisetum_hyemale,0.24,59.4
CPC5,Festuca_hallii,11.14,100
CPC5,Festuca_saximontana,0.51,34.4
CPC5,Galium_boreale,0.99,65.6
CPC5,Geum_triflorum,0.33,25
CPC5,Helictochloa_hookeri,0.28,34.4
CPC5,Hesperostipa_comata,2.86,43.8
CPC5,Hesperostipa_curtiseta,8.17,100
CPC5,Heterotheca_villosa,0.63,46.9
CPC5,Koeleria_macrantha,1.89,87.5
CPC5,Poa_pratensis,1.8,71.9
CPC5,Populus_tremuloides,2.2,21.9
CPC5,Prunus_virginiana,1.51,37.5
CPC5,Rosa_woodsii,7.03,90.6
CPC5,Solidago_missouriensis,1.83,96.9
CPC5,Sporobolus_rigidus,2.2,68.8
CPC5,Symphoricarpos_occidentalis,7.17,90.6
CPC5,Symphyotrichum_laeve,0.45,21.9
CPC5,Thermopsis_rhombifolia,1.4,75
CPC5,Vicia_americana,0.31,31.3
CU-LM-A,Achillea_millefolium,1.07,83.33
CU-LM-A,Agoseris_glauca,0.56,45.83
CU-LM-A,Agrostis_scabra,0.37,37.5
CU-LM-A,Allium_cernuum,0.18,25
CU-LM-A,Arnica_fulgens,0.46,29.17
CU-LM-A,Artemisia_frigida,1.74,20.83
CU-LM-A,Artemisia_ludoviciana,0.58,29.17
CU-LM-A,Calamagrostis_montanensis,0.43,20.83
CU-LM-A,Campanula_rotundifolia,0.35,50
CU-LM-A,Carex,2.45,41.67
CU-LM-A,Carex_inops,3.01,37.5
CU-LM-A,Carex_obtusata,1.07,50
CU-LM-A,Cerastium_arvense,0.38,66.67
CU-LM-A,Danthonia_intermedia,5.07,91.67
CU-LM-A,Dasiphora_fruticosa,42.6,41.67
CU-LM-A,Elymus_lanceolatus,2.1,37.5
CU-LM-A,Elymus_trachycaulus,0.81,66.67
CU-LM-A,Festuca_hallii,24.85,100
CU-LM-A,Festuca_saximontana,0.64,45.83
CU-LM-A,Fragaria_virginiana,0.32,20.83
CU-LM-A,Gaillardia_aristata,0.48,41.67
CU-LM-A,Galium_boreale,2.11,79.17
CU-LM-A,Geum_triflorum,1.03,66.67
CU-LM-A,Hedysarum_americanum,0.31,33.33
CU-LM-A,Helictochloa_hookeri,0.57,54.17
CU-LM-A,Hesperostipa_curtiseta,3.43,33.33
CU-LM-A,Heuchera_richardsonii,0.19,20.83
CU-LM-A,Juniperus_horizontalis,1.32,20.83
CU-LM-A,Koeleria_macrantha,2.65,66.67
CU-LM-A,Lathyrus_ochroleucus,0.19,20.83
CU-LM-A,Lupinus_argenteus,0.16,20.83
CU-LM-A,Oxytropis_campestris,0.23,20.83
CU-LM-A,Penstemon_procerus,0.29,29.17
CU-LM-A,Poa_pratensis,4.26,54.17
CU-LM-A,Potentilla_gracilis,0.43,29.17
CU-LM-A,Primula_conjugens,0.31,29.17
CU-LM-A,Pulsatilla_patens,0.95,66.67
CU-LM-A,Rosa_acicularis,0.25,25
CU-LM-A,Sisyrinchium_montanum,0.15,25
CU-LM-A,Solidago_missouriensis,0.53,50
CU-LM-A,Symphyotrichum_laeve,0.35,29.17
CU-LM-A,Taraxacum_officinale,0.98,50
CU-LM-A,Thermopsis_rhombifolia,1.68,66.67
CU-LM-A,Tragopogon_dubius,0.17,20.83
CU-LM-A,Vicia_americana,0.29,37.5
CU-LM-A,Viola_adunca,0.35,29.17
CU-LM-A,Zizia_aptera,0.23,20.83
DMG-LM-A,Achillea_millefolium,0.86,27.03
DMG-LM-A,Artemisia_frigida,5.84,94.59
DMG-LM-A,Bouteloua_gracilis,5.74,100
DMG-LM-A,Calamagrostis_montanensis,5.67,70.27
DMG-LM-A,Carex,5.68,94.59
DMG-LM-A,Elymus_lanceolatus,35.16,100
DMG-LM-A,Hesperostipa_comata,18.8,100
DMG-LM-A,Hesperostipa_curtiseta,3.87,51.35
DMG-LM-A,Heterotheca_villosa,0.81,24.32
DMG-LM-A,Koeleria_macrantha,7.12,97.3
DMG-LM-A,Pascopyrum_smithii,5.51,72.97
DMG-LM-A,Poa_secunda,0.94,24.32
DMG-LM-A,Poa_secunda,0.99,24.32
DMG-LM-A,Sphaeralcea_coccinea,2.47,78.38
DMG-LM-A,Vicia_americana,1.84,29.73
DMG-LM-B,Achillea_millefolium,0.99,40
DMG-LM-B,Artemisia_frigida,5.61,100
DMG-LM-B,Bouteloua_gracilis,7.92,95
DMG-LM-B,Calamagrostis_montanensis,6.04,90
DMG-LM-B,Carex,5.31,95
DMG-LM-B,Elymus_lanceolatus,23.2,100
DMG-LM-B,Hesperostipa_comata,8.33,100
DMG-LM-B,Hesperostipa_curtiseta,21.48,100
DMG-LM-B,Heterotheca_villosa,1.06,35
DMG-LM-B,Koeleria_macrantha,5.98,100
DMG-LM-B,Liatris_punctata,1.1,25
DMG-LM-B,Nassella_viridula,1.82,35
DMG-LM-B,Pascopyrum_smithii,5.13,95
DMG-LM-B,Pediomelum_esculentum,0.89,35
DMG-LM-B,Sphaeralcea_coccinea,2.22,55
DMG-LM-B,Vicia_americana,0.77,30
DMG-LM-C,Artemisia_frigida,8.24,95.08
DMG-LM-C,Bouteloua_gracilis,10.54,96.72
DMG-LM-C,Calamagrostis_montanensis,6.33,80.33
DMG-LM-C,Carex,6.54,95.08
DMG-LM-C,Elymus_lanceolatus,12.44,91.8
DMG-LM-C,Hesperostipa_comata,21.08,100
DMG-LM-C,Koeleria_macrantha,12.95,100
DMG-LM-C,Nassella_viridula,3.12,21.31
DMG-LM-C,Pascopyrum_smithii,9.27,90.16
DMG-LM-C,Sphaeralcea_coccinea,3.3,70.49
DMG-LM-C,Vicia_americana,1.14,26.23
DMGA2,Artemisia_cana,0.66,64.3
DMGA2,Artemisia_frigida,3.7,82.1
DMGA2,Artemisia_ludoviciana,0.93,25
DMGA2,Astragalus_pectinatus,0.67,35.7
DMGA2,Bouteloua_gracilis,8.65,100
DMGA2,Calamagrostis_montanensis,1.68,35.7
DMGA2,Carex,4.42,85.7
DMGA2,Elymus_lanceolatus,3.31,25
DMGA2,Hesperostipa_comata,22.63,100
DMGA2,Hesperostipa_curtiseta,4.04,28.6
DMGA2,Koeleria_macrantha,14.87,100
DMGA2,Nassella_viridula,1.65,25
DMGA2,Pascopyrum_smithii,2.31,21.4
DMGA2,Poa_secunda,1.66,64.3
DMGA2,Selaginella_densa,5.09,25
DMGA2,Sphaeralcea_coccinea,2.17,75
DMGA2,Tragopogon_dubius,0.56,21.4
DMGA2,Vicia_americana,1.27,32.1
DMGA3,Artemisia_cana,1.03,68.9
DMGA3,Artemisia_frigida,4.77,89.3
DMGA3,Bouteloua_gracilis,10.43,95.4
DMGA3,Calamagrostis_montanensis,1.85,45.7
DMGA3,Carex,6.22,95.7
DMGA3,Elymus_lanceolatus,2.18,28
DMGA3,Hesperostipa_comata,42.22,100
DMGA3,Koeleria_macrantha,13.03,99.4
DMGA3,Pascopyrum_smithii,6.94,81.4
DMGA3,Poa_secunda,1.42,43
DMGA3,Sphaeralcea_coccinea,1.92,30.2
DMGA3,Vicia_americana,0.45,21.6
DMGA5,Artemisia_cana,0.47,30
DMGA5,Artemisia_frigida,3.62,82
DMGA5,Bouteloua_gracilis,6.22,96
DMGA5,Calamagrostis_montanensis,9.63,98
DMGA5,Carex,1.73,72
DMGA5,Carex_filifolia,3.23,36
DMGA5,Elymus_lanceolatus,22.78,100
DMGA5,Hesperostipa_comata,24.56,100
DMGA5,Koeleria_macrantha,8.48,100
DMGA5,Krascheninnikovia_lanata,1.39,32
DMGA5,Pascopyrum_smithii,4.56,66
DMGA5,Poa_secunda,1.93,60
DMGA5,Taraxacum_officinale,2.1,84
DMGA5,Tragopogon_dubius,1.43,72
DMGA5,Vicia_americana,1.92,60
DMGA61,Achillea_millefolium,0.61,35.3
DMGA61,Antennaria_parvifolia,0.53,41.2
DMGA61,Artemisia_cana,1.95,70.6
DMGA61,Artemisia_frigida,1.82,94.1
DMGA61,Bouteloua_gracilis,2.36,94.1
DMGA61,Carex,3.77,76.5
DMGA61,Carex_duriuscula,1.1,41.2
DMGA61,Elymus_lanceolatus,3.42,88.2
DMGA61,Hesperostipa_comata,3.97,82.4
DMGA61,Hesperostipa_curtiseta,12.71,100
DMGA61,Koeleria_macrantha,4.66,100
DMGA61,Nassella_viridula,1.44,35.3
DMGA61,Pascopyrum_smithii,1.9,76.5
DMGA61,Phlox_hoodii,0.99,64.7
DMGA61,Poa_secunda,4.83,94.1
DMGA61,Selaginella_densa,22.68,100
DMGA61,Sphaeralcea_coccinea,0.79,82.4
DMGA61,Stellaria_longifolia,0.18,35.3
DMGA61,Symphyotrichum_ericoides,0.19,35.3
DMGA61,Taraxacum_officinale,0.64,35.3
DMGA9,Artemisia_cana,0.38,50
DMGA9,Artemisia_frigida,1.48,59.1
DMGA9,Astragalus_pectinatus,1.78,27.3
DMGA9,Bouteloua_gracilis,16.26,100
DMGA9,Calamagrostis_montanensis,2.56,50
DMGA9,Carex,1.78,72.7
DMGA9,Carex_filifolia,20.13,100
DMGA9,Comandra_umbellata,0.11,31.8
DMGA9,Elymus_lanceolatus,4.92,86.4
DMGA9,Hesperostipa_comata,37.96,100
DMGA9,Koeleria_macrantha,3,95.5
DMGA9,Krascheninnikovia_lanata,0.91,36.4
DMGA9,Lygodesmia_juncea,0.89,45.5
DMGA9,Pascopyrum_smithii,2.35,40.9
DMGA9,Phlox_hoodii,0.69,36.4
DMGA9,Poa_secunda,1.34,31.8
DMGA9,Sphaeralcea_coccinea,0.25,54.5
DMGA9,Sporobolus_rigidus,5.01,22.7
DMGA9,Taraxacum_officinale,0.94,27.3
DMGA9,Tragopogon_dubius,0.16,22.7
DMGA9,Vicia_americana,0.54,36.4
FFA1,Achillea_millefolium,1.12,55.6
FFA1,Artemisia_frigida,1.18,77.8
FFA1,Artemisia_ludoviciana,0.62,44.4
FFA1,Bouteloua_gracilis,1.77,33.3
FFA1,Carex,5.46,100
FFA1,Elymus_trachycaulus,0.89,33.3
FFA1,Festuca_campestris,60.61,100
FFA1,Festuca_idahoensis,6.82,100
FFA1,Galium_boreale,0.8,44.4
FFA1,Geum_triflorum,1.18,22.2
FFA1,Hesperostipa_comata,1.37,22.2
FFA1,Hesperostipa_curtiseta,1.83,33.3
FFA1,Heterotheca_villosa,0.87,33.3
FFA1,Koeleria_macrantha,1.3,44.4
FFA1,Lupinus_argenteus,1.07,77.8
FFA1,Nassella_viridula,1.13,44.4
FFA1,Pascopyrum_smithii,6.08,100
FFA1,Potentilla_pensylvanica,0.21,33.3
FFA1,Pulsatilla_patens,1.18,44.4
FFA1,Solidago_missouriensis,0.59,22.2
FFA1,Symphoricarpos_occidentalis,3.1,88.9
FFA1,Thermopsis_rhombifolia,1.27,55.6
FFA1,Vicia_americana,0.24,22.2
FFA2,Artemisia_frigida,1.63,32.1
FFA2,Bromus_pumpellianus,0.69,21.4
FFA2,Carex,8.82,85.7
